code_prefix,concept_iri,level,scheme,code_title,rationale,confidence,status
G03F7/20,https://w3id.org/sdkb/data/process/lithography,process,IPC,Exposure; Apparatus therefor,노광 자체 — Lithography 정의(pattern transfer using photoresist and exposure)와 직결,high,author-defined
G03F7/70,https://w3id.org/sdkb/data/process/lithography,process,IPC,Microphotolithographic exposure equipment,스캐너/스테퍼 노광 장비,high,author-defined
G03F1,https://w3id.org/sdkb/data/process/lithography,process,IPC,Masks; Originals; Pellicles,마스크/레티클 — 노광의 구성요소이나 공정 자체는 아님,medium,author-defined
H01L21/027,https://w3id.org/sdkb/data/process/lithography,process,IPC,Making masks on semiconductor bodies (photolithographic processes),반도체 기판 상 포토리소 공정,high,author-defined
G03F7/16,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,IPC,Coating processes (photoresist),감광막 도포 — Coat/Develop 정의와 직결,high,author-defined
G03F7/30,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,IPC,Imagewise removal (developing),현상 공정,high,author-defined
G03F7/32,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,IPC,Liquid compositions for developing,현상액,medium,author-defined
G03F9,https://w3id.org/sdkb/data/subprocess/overlay_control,subprocess,IPC,Registration or positioning of originals/masks,정렬(align) — Overlay Control 정의(alignment/APC)와 직결,high,author-defined
G03F7/70633,https://w3id.org/sdkb/data/subprocess/overlay_control,subprocess,CPC,Overlay/alignment metrology,오버레이 계측,high,author-defined
H01L21/306,https://w3id.org/sdkb/data/process/etch,process,IPC,Chemical or electrical treatment (etching),식각 일반 — 건식/습식 미분화이므로 상위 Process 로 둔다,high,author-defined
H01L21/311,https://w3id.org/sdkb/data/process/etch,process,IPC,Etching of insulating layers,절연막 식각. Hardmask(SiN/SiO2)일 수 있으나 IPC 만으로는 단정 불가 → 상위로,medium,author-defined
H01L21/3213,https://w3id.org/sdkb/data/process/etch,process,IPC,Etching of conductive layers,도전막 식각,high,author-defined
H01L21/3065,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,IPC,Plasma etching / dry etching,플라즈마 건식 식각 — Plasma Etch 정의(RIE/ICP)와 직결,high,author-defined
H01J37/32,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,IPC,Plasma discharge apparatus,플라즈마 장비. 식각뿐 아니라 플라즈마 증착에도 쓰임 → 오분류 위험 있음,medium,author-defined
C09K13,https://w3id.org/sdkb/data/subprocess/wet_etch,subprocess,IPC,Etching or pickling compositions,식각액 조성물 — Wet Etch 정의(liquid chemistries)와 직결,high,author-defined
H01L21/033,https://w3id.org/sdkb/data/subprocess/hardmask_etch,subprocess,IPC,Masks using inorganic layers (hard masks),하드마스크,high,author-defined
H01L21/205,https://w3id.org/sdkb/data/process/deposition,process,IPC,Deposition of semiconductor materials from gases (epitaxy),기상 증착/에피,high,author-defined
H01L21/285,https://w3id.org/sdkb/data/process/deposition,process,IPC,Deposition of conductive or insulating materials for electrodes,전극 박막 증착,high,author-defined
C23C16,https://w3id.org/sdkb/data/subprocess/cvd,subprocess,IPC,Chemical vapour deposition,CVD,high,author-defined
C23C16/455,https://w3id.org/sdkb/data/subprocess/ald,subprocess,CPC,Gas flow control / ALD sequencing,ALD 는 C23C16/455 계열에 배치됨. 상위 C23C16(CVD)보다 긴 접두어이므로 우선 매칭,medium,author-defined
C23C14,https://w3id.org/sdkb/data/subprocess/pvd,subprocess,IPC,Coating by vacuum evaporation/sputtering,PVD(스퍼터),high,author-defined
B24B37,https://w3id.org/sdkb/data/process/cmp,process,IPC,Lapping machines / polishing machines,CMP 장비,high,author-defined
C09G1/02,https://w3id.org/sdkb/data/process/cmp,process,IPC,Polishing compositions,CMP 슬러리,high,author-defined
H01L21/304,https://w3id.org/sdkb/data/process/cmp,process,IPC,Mechanical treatment (grinding/polishing),기계적 연마. 백그라인딩 등 CMP 가 아닌 것도 포함 → 오분류 위험,medium,author-defined
H01L21/3105,https://w3id.org/sdkb/data/process/cmp,process,IPC,After-treatment of insulating layers (planarisation),평탄화,high,author-defined
H01L21/31053,https://w3id.org/sdkb/data/subprocess/cmp_oxide,subprocess,CPC,Planarisation of insulating layers by CMP,산화막 CMP,high,author-defined
H01L21/3212,https://w3id.org/sdkb/data/subprocess/cmp_metal,subprocess,CPC,Planarisation of conductive layers by CMP,금속막 CMP,high,author-defined
H01L21/02052,https://w3id.org/sdkb/data/process/clean,process,CPC,Cleaning before/after device manufacture,세정,high,author-defined
B08B,https://w3id.org/sdkb/data/process/clean,process,IPC,Cleaning in general,일반 세정 — 반도체 외 분야도 포함하므로 출원인 필터와 병용해야 함,medium,author-defined
C11D,https://w3id.org/sdkb/data/process/clean,process,IPC,Detergent compositions,세정액 조성물. 생활화학 특허가 다수 → 오분류 위험 큼,medium,author-defined
H01L21/265,https://w3id.org/sdkb/data/process/implant,process,IPC,Bombardment with radiation (ion implantation),이온주입 — Ion Implantation 정의와 직결,high,author-defined
H01L21/26,https://w3id.org/sdkb/data/process/implant,process,IPC,Bombardment with wave or particle radiation,조사 일반. /265(주입) /268(어닐) 이 더 긴 접두어로 우선함,medium,author-defined
H01L21/22,https://w3id.org/sdkb/data/process/diffusion,process,IPC,Diffusion of impurities into semiconductor bodies,불순물 확산,high,author-defined
H01L21/324,https://w3id.org/sdkb/data/process/diffusion,process,IPC,Thermal treatment / annealing,열처리·어닐 — Diffusion/Anneal 정의와 직결,high,author-defined
H01L21/268,https://w3id.org/sdkb/data/process/diffusion,process,IPC,Bombardment with laser radiation (laser anneal),레이저 어닐,medium,author-defined
H01L22,https://w3id.org/sdkb/data/process/metrology,process,IPC,Testing or measuring during manufacture,제조 중 검사·계측 — Metrology/Inspection 정의와 직결,high,author-defined
H01L21/66,https://w3id.org/sdkb/data/process/metrology,process,IPC,Testing or measuring during manufacture,제조 중 측정(구 분류),high,author-defined
G01N21/95,https://w3id.org/sdkb/data/process/metrology,process,IPC,Investigating materials — surface/defect inspection,웨이퍼 결함 검사,high,author-defined
G01B11,https://w3id.org/sdkb/data/process/metrology,process,IPC,Optical measuring of dimensions,광학 치수 계측(CD). 반도체 외 분야 포함,medium,author-defined
